time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-16T04:21:25.254Z,15.532,120.1099,58.472,4.8,mb,59,99,7.305,0.59,us,us7000jkch,2023-03-17T03:52:01.340Z,"16 km ENE of San Lorenzo, Philippines",earthquake,9.95,8.153,0.053,110,reviewed,us,us
2023-03-16T01:46:10.227Z,-30.1631,-176.4208,10,5.2,mb,50,69,1.584,0.71,us,us7000jkbr,2023-03-16T21:17:28.040Z,"Kermadec Islands region",earthquake,8.89,1.879,0.072,63,reviewed,us,us
2023-03-16T00:56:02.207Z,-30.1147,-176.1116,22.065,7,mww,116,22,1.789,1.34,us,us7000jkbd,2023-03-17T23:00:18.612Z,"Kermadec Islands region",earthquake,8.73,4.611,0.093,11,reviewed,us,us
2023-03-15T21:50:42.472Z,3.9198,-76.0786,170.701,4.6,mb,39,88,1.979,0.64,us,us7000jka7,2023-03-15T22:12:56.040Z,"Colombia",earthquake,7.69,1.776,0.107,26,reviewed,us,us
2023-03-15T21:25:37.898Z,4.7176,126.9296,37.686,5.4,mww,137,28,2.695,0.89,us,us7000jk9p,2023-03-16T21:29:31.723Z,"179 km ESE of Sarangani, Philippines",earthquake,7.5,4.267,0.057,30,reviewed,us,us
2023-03-15T19:49:39.912Z,-2.4043,139.4197,25.086,4.5,mb,37,105,10.372,0.74,us,us7000jk7v,2023-03-15T20:15:48.040Z,"136 km W of Abepura, Indonesia",earthquake,12.28,6.32,0.106,26,reviewed,us,us
2023-03-15T19:20:08.988Z,-9.7503,161.5944,35,4.8,mb,38,115,1.653,1.29,us,us7000jk7j,2023-03-15T19:56:11.040Z,"85 km NNW of Kirakira, Solomon Islands",earthquake,8.79,1.934,0.086,42,reviewed,us,us
2023-03-15T18:39:19.198Z,-17.8061,-178.6461,558.508,4.5,mb,71,40,3.515,0.88,us,us7000jk7d,2023-03-15T19:36:49.040Z,"217 km E of Levuka, Fiji",earthquake,12.09,8.003,0.047,130,reviewed,us,us
2023-03-15T12:26:15.679Z,-17.5174,-178.5632,535.116,4.6,mb,30,94,3.22,0.55,us,us7000jk3x,2023-03-15T12:42:33.040Z,"232 km ENE of Levuka, Fiji",earthquake,15.41,17.134,0.109,25,reviewed,us,us
2023-03-15T09:28:20.484Z,-18.0171,-174.3111,133.912,4.5,mb,20,98,0.694,0.61,us,us7000jk2b,2023-03-15T10:05:10.040Z,"78 km NNW of Neiafu, Tonga",earthquake,10.36,7.3,0.145,14,reviewed,us,us
2023-03-15T07:39:14.953Z,-15.0743,-173.4213,39.209,4.7,mb,25,150,2.885,0.49,us,us7000jk0w,2023-03-15T08:35:39.040Z,"105 km NNE of Hihifo, Tonga",earthquake,11.25,9.771,0.137,16,reviewed,us,us
2023-03-15T06:36:26.610Z,18.5519,-106.8189,10,4.5,mb,56,129,5.398,1.08,us,us7000jk0l,2023-03-15T06:52:37.040Z,"212 km SW of José María Morelos, Mexico",earthquake,9.62,1.91,0.048,129,reviewed,us,us
2023-03-15T03:39:49.699Z,0.8617,-29.2283,10,5,mb,26,134,15.078,0.65,us,us7000jk00,2023-03-15T22:54:41.040Z,"central Mid-Atlantic Ridge",earthquake,14.04,1.924,0.123,21,reviewed,us,us
2023-03-15T02:32:21.226Z,34.9812,81.3674,15.942,4.7,mb,44,80,6.831,0.6,us,us7000jjzm,2023-03-15T21:35:29.040Z,"268 km SSE of Hotan, China",earthquake,6.84,3.818,0.067,68,reviewed,us,us
2023-03-15T01:16:17.301Z,-19.432,-173.3925,10,4.6,mb,21,95,0.968,0.41,us,us7000jjz7,2023-03-15T20:36:23.040Z,"106 km SE of Neiafu, Tonga",earthquake,4.2,1.895,0.147,14,reviewed,us,us
2023-03-15T00:36:46.234Z,-13.1717,167.0458,179.806,4.9,mb,78,54,2.267,0.61,us,us7000jjz2,2023-03-15T00:52:42.040Z,"95 km NW of Sola, Vanuatu",earthquake,9.2,6.962,0.074,58,reviewed,us,us
2023-03-14T23:45:31.545Z,-29.7863,-179.1141,308.783,4.6,mb,41,108,1.164,1.22,us,us7000jjyt,2023-03-15T00:02:57.040Z,"Kermadec Islands region",earthquake,15.64,7.786,0.091,36,reviewed,us,us
2023-03-14T20:55:44.262Z,-17.5492,-69.4584,170.344,4.5,mb,71,95,0.045,0.63,us,us7000jjxc,2023-03-15T15:37:57.040Z,"58 km ENE of Palca, Peru",earthquake,5.85,5.217,0.069,64,reviewed,us,us
2023-03-14T19:56:38.955Z,-38.4214,-75.2851,7.479,5.5,mww,168,35,2.052,0.94,us,us7000jjwt,2023-03-15T20:00:35.561Z,"169 km WSW of Lebu, Chile",earthquake,5.29,2.819,0.053,34,reviewed,us,us
2023-03-14T16:36:02.309Z,35.5478,22.1475,28.756,5.4,mww,128,36,1.637,1.25,us,us7000jjve,2023-03-15T16:40:58.813Z,"101 km SW of Kýthira, Greece",earthquake,7.15,4.565,0.042,55,reviewed,us,us
2023-03-14T14:49:49.755Z,37.8097,37.3889,10,4.6,mwr,87,55,0.652,1.05,us,us7000jjv5,2023-03-14T18:26:32.229Z,"11 km NE of Ça?layancerit, Turkey",earthquake,4.41,1.844,0.069,20,reviewed,us,us
2023-03-14T10:23:51.921Z,2.2973,128.0355,10,4.5,mb,54,77,1.656,0.7,us,us7000jjsw,2023-03-14T13:08:33.040Z,"62 km N of Tobelo, Indonesia",earthquake,8.85,1.897,0.085,41,reviewed,us,us
2023-03-14T10:01:15.052Z,51.7449,159.5407,10,5,mb,98,125,1.392,0.68,us,us7000jjsn,2023-03-14T10:26:34.040Z,"153 km SSE of Vilyuchinsk, Russia",earthquake,8.69,1.872,0.051,123,reviewed,us,us
2023-03-14T06:47:35.616Z,38.0742,36.9299,10,4.6,mb,54,57,0.522,0.84,us,us7000jjrw,2023-03-15T18:06:40.040Z,"19 km S of Af?in, Turkey",earthquake,3.94,1.911,0.105,27,reviewed,us,us
2023-03-14T05:07:00.009Z,6.7938,-73.0147,157.698,4.5,mb,59,38,0.899,1.02,us,us7000jjrd,2023-03-14T14:04:46.431Z,"6 km NW of Cepitá, Colombia",earthquake,7.49,6.954,0.041,176,reviewed,us,us
2023-03-14T04:24:47.939Z,-56.6034,-141.75,10,5.5,mww,38,117,31.319,0.83,us,us7000jju1,2023-03-15T04:28:21.912Z,"Pacific-Antarctic Ridge",earthquake,14.84,1.824,0.089,12,reviewed,us,us
2023-03-14T02:55:39.508Z,14.338,-93.2086,35,4.5,mb,55,186,2.192,0.53,us,us7000jjqm,2023-03-14T23:47:58.040Z,"94 km WSW of Puerto Madero, Mexico",earthquake,7.21,1.953,0.039,195,reviewed,us,us
2023-03-14T00:49:08.501Z,-5.4058,146.8537,213,6.3,mww,168,13,3.985,0.5,us,us7000jjp7,2023-03-17T10:54:56.293Z,"eastern New Guinea region, Papua New Guinea",earthquake,7.86,1.875,0.041,57,reviewed,us,us
2023-03-13T22:50:45.519Z,-28.1708,-67.5856,136.697,5.2,mww,110,30,1.91,1.11,us,us7000jjnk,2023-03-13T23:07:54.040Z,"Catamarca-La Rioja region, Argentina",earthquake,7.63,5.729,0.047,44,reviewed,us,us
2023-03-13T21:53:45.916Z,20.8149,121.6338,57.614,4.7,mb,39,78,2.058,0.63,us,us7000jjn9,2023-03-13T22:11:04.040Z,"",earthquake,4.9,7.452,0.091,37,reviewed,us,us
2023-03-13T21:46:06.599Z,-11.9936,166.0362,10,5,mb,41,108,3.615,1.06,us,us7000jjn7,2023-03-13T22:06:27.040Z,"142 km S of Lata, Solomon Islands",earthquake,9.11,1.883,0.098,33,reviewed,us,us
2023-03-13T20:37:34.098Z,-48.7781,121.2433,10,4.5,mb,36,61,16.118,1.04,us,us7000jjmw,2023-03-17T18:47:26.040Z,"western Indian-Antarctic Ridge",earthquake,7.25,1.8,0.111,24,reviewed,us,us
2023-03-13T20:21:43.853Z,-21.0863,-178.879,626.574,4.5,mb,76,41,3.432,0.75,us,us7000jjmh,2023-03-17T20:46:40.040Z,"Fiji region",earthquake,12.15,5.008,0.064,71,reviewed,us,us
2023-03-13T19:19:15.164Z,-17.663,-70.384,103.587,5.1,mb,50,132,0.705,1.44,us,us7000jjll,2023-03-14T11:27:35.566Z,"18 km NE of Sama Grande, Peru",earthquake,7.73,5.694,0.037,242,reviewed,us,us
2023-03-13T18:49:24.271Z,17.7912,-106.0095,10,4.5,mb,83,205,4.893,1.13,us,us7000jjld,2023-03-14T17:19:12.040Z,"208 km SSW of Emiliano Zapata, Mexico",earthquake,9.24,1.961,0.042,171,reviewed,us,us
2023-03-13T18:15:53.994Z,-49.8594,-115.1018,10,4.5,mb,39,39,26.727,0.96,us,us7000jkvg,2023-03-18T16:00:13.040Z,"southern East Pacific Rise",earthquake,15.79,1.845,0.106,26,reviewed,us,us
2023-03-13T14:40:04.580Z,44.5989,149.3446,35,4.5,mb,91,81,5.175,0.58,us,us7000jjjc,2023-03-13T15:46:34.040Z,"135 km ESE of Kuril’sk, Russia",earthquake,9.78,1.863,0.061,78,reviewed,us,us
2023-03-13T14:29:57.603Z,44.5378,149.3325,35,4.6,mb,117,83,5.165,0.75,us,us7000jjj9,2023-03-13T15:29:06.040Z,"138 km SE of Kuril’sk, Russia",earthquake,8.9,1.848,0.044,153,reviewed,us,us
2023-03-13T13:40:51.003Z,-31.5023,-177.7773,10,5,mb,29,166,2.236,1.11,us,us7000jjiy,2023-03-13T13:58:22.040Z,"Kermadec Islands region",earthquake,10.72,1.96,0.115,24,reviewed,us,us
2023-03-13T12:52:07.441Z,14.3515,123.0237,35.592,4.5,mb,28,115,8.62,0.88,us,us7000jjiv,2023-03-13T21:00:21.124Z,"18 km NE of Sabang Indan, Philippines",earthquake,12.2,8.696,0.107,26,reviewed,us,us
2023-03-13T10:55:51.613Z,-7.2664,130.3319,83.938,4.6,mb,42,71,2.759,0.74,us,us7000jjib,2023-03-13T12:52:53.040Z,"Pulau Pulau Tanimbar, Indonesia",earthquake,4.88,9.049,0.097,32,reviewed,us,us
